OrderID,Region,Product,SalesRep,UnitsSold,UnitPrice,OrderDate
1166, East ,Tablet,Eva,10.0,1000.0,2024-02-15
1190,,Tablet,Bob,,500.0,2024-02-30
1007,north,,Alice,,1000.0,2024-02-30
1065,north,laptop,David,3.0,250.0,2024-01-05
1098,East,,,10.0,1000.0,2024-01-05
1197,South,,Charlie,-1.0,,2024-02-15
1299,SOUTH,MOBILE,Eva,1.0,750.0,2024-01-05
1128,SOUTH,Laptop,David,-1.0,1000.0,2024-01-05
1160,,MOBILE,Eva,5.0,750.0,2024-01-05
1084,West,Tablet,David,1.0,750.0,2024-02-30
1240,East,Laptop,,-1.0,250.0,2024/01/06
1067,East,MOBILE,Charlie,2.0,1000.0,2024-02-30
1099,West,,Alice,5.0,500.0,2024-02-15
1180,,Laptop,Alice,,,2024/01/06
1231, East ,Tablet,Alice,,750.0,2024/01/06
1029,North,laptop,Charlie,5.0,250.0,2024-01-05
1094,West,Mobile,Alice,1.0,500.0,2024-02-15
1282, East ,laptop,David,10.0,250.0,2024-02-15
1185,East,Headphones,Bob,10.0,,
1174, East ,MOBILE,David,3.0,1000.0,2024-02-30
1256,North,laptop,Eva,10.0,750.0,
1292,,Laptop,Alice,3.0,750.0,2024-01-05
1286,South,Mobile,Charlie,2.0,500.0,2024-02-30
1013,South,laptop,,2.0,,
1003,North,laptop,Bob,,,2024-02-15
1141,SOUTH,Headphones,Eva,10.0,750.0,2024-02-15
1078,West,Headphones,Charlie,3.0,250.0,05-01-2024
1169,North,,,-1.0,750.0,2024-02-30
1030,SOUTH,,Charlie,2.0,250.0,2024/01/06
1244,South,Headphones,Eva,2.0,,2024-01-05
1068, East ,laptop,Alice,1.0,250.0,
1193,North,Mobile,Eva,10.0,750.0,2024-01-05
1106,East,MOBILE,Bob,1.0,1000.0,2024-02-15
1106,East,MOBILE,Bob,1.0,1000.0,2024-02-15
1175,North,Headphones,Alice,3.0,750.0,05-01-2024
1194,,Laptop,Eva,5.0,250.0,
1035,,Laptop,Bob,2.0,250.0,05-01-2024
1151,North,Tablet,David,1.0,250.0,2024-02-15
1154,South,laptop,David,10.0,,2024-02-30
1010,West,,Charlie,1.0,500.0,2024-01-05
1060,East,Tablet,Alice,2.0,750.0,05-01-2024
1214,SOUTH,Mobile,,2.0,,05-01-2024
1241,North,Tablet,Bob,10.0,750.0,2024-01-05
1118,North,MOBILE,Eva,1.0,750.0,2024/01/06
1242,East,Tablet,Alice,2.0,1000.0,2024-02-30
1289,SOUTH,,,3.0,500.0,2024-02-15
1109, East ,Headphones,Alice,3.0,750.0,2024-02-15
1192,,MOBILE,David,5.0,500.0,2024-02-15
1257,South,Headphones,Charlie,-1.0,1000.0,
1066, East ,,Charlie,1.0,250.0,05-01-2024
1183,East,Headphones,,3.0,,
1012,SOUTH,Tablet,Bob,,750.0,
1275, East ,Mobile,Bob,5.0,,
1089,north,Headphones,Eva,-1.0,250.0,05-01-2024
1127,North,Tablet,Eva,5.0,750.0,2024-01-05
1077,SOUTH,Tablet,Bob,2.0,250.0,
1215,East,MOBILE,Alice,,250.0,05-01-2024
1074,North,Mobile,,3.0,1000.0,
1041,South,Laptop,,5.0,750.0,2024-02-15
1011, East ,Tablet,David,,750.0,2024/01/06
1179,north,laptop,Bob,3.0,1000.0,
1274,north,Tablet,Alice,1.0,1000.0,
1114,North,Headphones,Eva,10.0,250.0,2024-01-05
1053,South,,Bob,1.0,,2024-01-05
1226,West,MOBILE,Alice,,1000.0,
1152,,Laptop,Eva,,250.0,2024/01/06
1091,SOUTH,Headphones,David,5.0,500.0,2024-02-30
1172,,Laptop,David,3.0,1000.0,05-01-2024
1002, East ,Laptop,Alice,1.0,500.0,2024/01/06
1178,,MOBILE,David,-1.0,250.0,2024/01/06
1258,North,Tablet,Eva,3.0,750.0,2024-01-05
1058,SOUTH,,Alice,1.0,1000.0,2024-02-30
1155,West,,Eva,5.0,1000.0,2024-02-15
